S_no,Country,City,City to country name
1,US,Agra,Agra to US
2,US,Ahmedabad,Ahmedabad to US
3,US,Amritsar,Amritsar to US
4,US,Aurangabad,Aurangabad to US
5,US,Bawana Industrial Area,Bawana Industrial Area to US
6,US,Belagavi,Belagavi to US
7,US,Bengaluru,Bengaluru to US
8,US,Bhilwara,Bhilwara to US
9,US,Bhopal,Bhopal to US
10,US,Bhubaneswar,Bhubaneswar to US
11,US,Chennai,Chennai to US
12,US,Coimbatore,Coimbatore to US
13,US,Cuttack,Cuttack to US
14,US,Dewas,Dewas to US
15,US,Dharwad,Dharwad to US
16,US,Durgapur,Durgapur to US
17,US,Erode,Erode to US
18,US,Faridabad,Faridabad to US
19,US,Gandhidham,Gandhidham to US
20,US,Gurugram,Gurugram to US
21,US,Guntur,Guntur to US
22,US,Gwalior,Gwalior to US
23,US,Howrah,Howrah to US
24,US,Hubballi,Hubballi to US
25,US,Hyderabad,Hyderabad to US
26,US,Indore,Indore to US
27,US,Jabalpur,Jabalpur to US
28,US,Jaipur,Jaipur to US
29,US,Jalandhar,Jalandhar to US
30,US,Jodhpur,Jodhpur to US
31,US,Kakinada,Kakinada to US
32,US,Kanpur,Kanpur to US
33,US,Karimnagar,Karimnagar to US
34,US,Karnal,Karnal to US
35,US,Kolkata,Kolkata to US
36,US,Kota,Kota to US
37,US,Ludhiana,Ludhiana to US
38,US,Madurai,Madurai to US
39,US,Mangaluru,Mangaluru to US
40,US,Mohali,Mohali to US
41,US,Moradabad,Moradabad to US
42,US,Mumbai,Mumbai to US
43,US,Mundra,Mundra to US
44,US,Mysuru,Mysuru to US
45,US,Nagpur,Nagpur to US
46,US,Naraina,Naraina to US
47,US,Nashik,Nashik to US
48,US,New Delhi,New Delhi to US
49,US,Nizamabad,Nizamabad to US
50,US,Noida,Noida to US
51,US,Okhla,Okhla to US
52,US,Panipat,Panipat to US
53,US,Paradip,Paradip to US
54,US,Patiala,Patiala to US
55,US,Pune,Pune to US
56,US,Rajkot,Rajkot to US
57,US,Rourkela,Rourkela to US
58,US,Siliguri,Siliguri to US
59,US,Sonipat,Sonipat to US
60,US,Surat,Surat to US
61,US,Tirupati,Tirupati to US
62,US,Tiruppur,Tiruppur to US
63,US,Udaipur,Udaipur to US
64,US,Vadodara,Vadodara to US
65,US,Varanasi,Varanasi to US
66,US,Vijayawada,Vijayawada to US
67,US,Visakhapatnam,Visakhapatnam to US
68,US,Warangal,Warangal to US
69,UAE,,Agra to UAE
70,UAE,,Ahmedabad to UAE
71,UAE,,Amritsar to UAE
72,UAE,,Aurangabad to UAE
73,UAE,,Bawana Industrial Area to UAE
74,UAE,,Belagavi to UAE
75,UAE,,Bengaluru to UAE
76,UAE,,Bhilwara to UAE
77,UAE,,Bhopal to UAE
78,UAE,,Bhubaneswar to UAE
79,UAE,,Chennai to UAE
80,UAE,,Coimbatore to UAE
81,UAE,,Cuttack to UAE
82,UAE,,Dewas to UAE
83,UAE,,Dharwad to UAE
84,UAE,,Durgapur to UAE
85,UAE,,Erode to UAE
86,UAE,,Faridabad to UAE
87,UAE,,Gandhidham to UAE
88,UAE,,Gurugram to UAE
89,UAE,,Guntur to UAE
90,UAE,,Gwalior to UAE
91,UAE,,Howrah to UAE
92,UAE,,Hubballi to UAE
93,UAE,,Hyderabad to UAE
94,UAE,,Indore to UAE
95,UAE,,Jabalpur to UAE
96,UAE,,Jaipur to UAE
97,UAE,,Jalandhar to UAE
98,UAE,,Jodhpur to UAE
99,UAE,,Kakinada to UAE
100,UAE,,Kanpur to UAE
101,UAE,,Karimnagar to UAE
102,UAE,,Karnal to UAE
103,UAE,,Kolkata to UAE
104,UAE,,Kota to UAE
105,UAE,,Ludhiana to UAE
106,UAE,,Madurai to UAE
107,UAE,,Mangaluru to UAE
108,UAE,,Mohali to UAE
109,UAE,,Moradabad to UAE
110,UAE,,Mumbai to UAE
111,UAE,,Mundra to UAE
112,UAE,,Mysuru to UAE
113,UAE,,Nagpur to UAE
114,UAE,,Naraina to UAE
115,UAE,,Nashik to UAE
116,UAE,,New Delhi to UAE
117,UAE,,Nizamabad to UAE
118,UAE,,Noida to UAE
119,UAE,,Okhla to UAE
120,UAE,,Panipat to UAE
121,UAE,,Paradip to UAE
122,UAE,,Patiala to UAE
123,UAE,,Pune to UAE
124,UAE,,Rajkot to UAE
125,UAE,,Rourkela to UAE
126,UAE,,Siliguri to UAE
