S_no,Country,City,Country (c),City (Repeat),City to country name,Images_link,Wordpress_id,Reference_image(Country),Reference_image_india
1,US,Agra,US,Agra,Agra to US,,,,
2,UAE,Ahmedabad,US,Ahmedabad,Ahmedabad to US,,,,
3,Europe,Amritsar,US,Amritsar,Amritsar to US,,,,
4,Germany,Aurangabad,US,Aurangabad,Aurangabad to US,,,,
5,UK,Bawana Industrial Area,US,Bawana Industrial Area,Bawana Industrial Area to US,,,,
6,Canada,Belagavi,US,Belagavi,Belagavi to US,,,,
7,France,Bengaluru,US,Bengaluru,Bengaluru to US,,,,
8,Italy,Bhilwara,US,Bhilwara,Bhilwara to US,,,,
9,Portugal,Bhopal,US,Bhopal,Bhopal to US,,,,
10,Austria,Bhubaneswar,US,Bhubaneswar,Bhubaneswar to US,,,,
11,Belgium,Chennai,US,Chennai,Chennai to US,,,,
12,Bulgaria,Coimbatore,US,Coimbatore,Coimbatore to US,,,,
13,Croatia,Cuttack,US,Cuttack,Cuttack to US,,,,
14,Czech Republic,Dewas,US,Dewas,Dewas to US,,,,
15,,Dharwad,US,Dharwad,Dharwad to US,,,,
16,,Durgapur,US,Durgapur,Durgapur to US,,,,
17,,Erode,US,Erode,Erode to US,,,,
18,,Faridabad,US,Faridabad,Faridabad to US,,,,
19,,Gandhidham,US,Gandhidham,Gandhidham to US,,,,
20,,Gurugram,US,Gurugram,Gurugram to US,,,,
21,,Guntur,US,Guntur,Guntur to US,,,,
22,,Gwalior,US,Gwalior,Gwalior to US,,,,
23,,Howrah,US,Howrah,Howrah to US,,,,
24,,Hubballi,US,Hubballi,Hubballi to US,,,,
25,,Hyderabad,US,Hyderabad,Hyderabad to US,,,,
26,,Indore,US,Indore,Indore to US,,,,
27,,Jabalpur,US,Jabalpur,Jabalpur to US,,,,
28,,Jaipur,US,Jaipur,Jaipur to US,,,,
29,,Jalandhar,US,Jalandhar,Jalandhar to US,,,,
30,,Jodhpur,US,Jodhpur,Jodhpur to US,,,,
31,,Kakinada,US,Kakinada,Kakinada to US,,,,
32,,Kanpur,US,Kanpur,Kanpur to US,,,,
33,,Karimnagar,US,Karimnagar,Karimnagar to US,,,,
34,,Karnal,US,Karnal,Karnal to US,,,,
35,,Kolkata,US,Kolkata,Kolkata to US,,,,
36,,Kota,US,Kota,Kota to US,,,,
37,,Ludhiana,US,Ludhiana,Ludhiana to US,,,,
38,,Madurai,US,Madurai,Madurai to US,,,,
39,,Mangaluru,US,Mangaluru,Mangaluru to US,,,,
40,,Mohali,US,Mohali,Mohali to US,,,,
41,,Moradabad,US,Moradabad,Moradabad to US,,,,
42,,Mumbai,US,Mumbai,Mumbai to US,,,,
43,,Mundra,US,Mundra,Mundra to US,,,,
44,,Mysuru,US,Mysuru,Mysuru to US,,,,
45,,Nagpur,US,Nagpur,Nagpur to US,,,,
46,,Naraina,US,Naraina,Naraina to US,,,,
47,,Nashik,US,Nashik,Nashik to US,,,,
48,,New Delhi,US,New Delhi,New Delhi to US,,,,
49,,Nizamabad,US,Nizamabad,Nizamabad to US,,,,
50,,Noida,US,Noida,Noida to US,,,,
51,,Okhla,US,Okhla,Okhla to US,,,,
52,,Panipat,US,Panipat,Panipat to US,,,,
53,,Paradip,US,Paradip,Paradip to US,,,,
54,,Patiala,US,Patiala,Patiala to US,,,,
55,,Pune,US,Pune,Pune to US,,,,
56,,Rajkot,US,Rajkot,Rajkot to US,,,,
57,,Rourkela,US,Rourkela,Rourkela to US,,,,
58,,Siliguri,US,Siliguri,Siliguri to US,,,,
59,,Sonipat,US,Sonipat,Sonipat to US,,,,
60,,Surat,US,Surat,Surat to US,,,,
61,,Tirupati,US,Tirupati,Tirupati to US,,,,
62,,Tiruppur,US,Tiruppur,Tiruppur to US,,,,
63,,Udaipur,US,Udaipur,Udaipur to US,,,,
64,,Vadodara,US,Vadodara,Vadodara to US,,,,
65,,Varanasi,US,Varanasi,Varanasi to US,,,,
66,,Vijayawada,US,Vijayawada,Vijayawada to US,,,,
67,,Visakhapatnam,US,Visakhapatnam,Visakhapatnam to US,,,,
68,,Warangal,US,Warangal,Warangal to US,,,,
69,,,UAE,Agra,Agra to UAE,,,,
70,,,UAE,Ahmedabad,Ahmedabad to UAE,,,,
71,,,UAE,Amritsar,Amritsar to UAE,,,,
72,,,UAE,Aurangabad,Aurangabad to UAE,,,,
73,,,UAE,Bawana Industrial Area,Bawana Industrial Area to UAE,,,,
74,,,UAE,Belagavi,Belagavi to UAE,,,,
75,,,UAE,Bengaluru,Bengaluru to UAE,,,,
76,,,UAE,Bhilwara,Bhilwara to UAE,,,,
77,,,UAE,Bhopal,Bhopal to UAE,,,,
78,,,UAE,Bhubaneswar,Bhubaneswar to UAE,,,,
79,,,UAE,Chennai,Chennai to UAE,,,,
